Questions,Difficulty,Category
What is difference between matrix and dataframes?,1,Other
What is difference between lapply and sapply?,3,Other
What is the difference between seq(4) and seq_along(4)?,3,Other
What is the memory limit of R?,3,Other
How many data structures R has?,3,Other
Explain how data is aggregated in R.,1,Other
How many sorting algorithms are available?,2,Other
How to create new variable in R programming?,1,Other
What are R packages?,2,Other
What is the workspace in R?,2,Other
What is the function which is used for merging of data frames horizontally in R?,1,Other
what is the function which is used for merging of data frames vertically in R?,3,Other
What is the power analysis?,1,Other
Which package is used for power analysis in R?,2,Other
Which method is used for exporting the data in R?,1,Other
Which packages are used for exporting of data?,1,Other
How impossible values are represented in R?,1,Other
Which command is used for storing R object into a file?,3,Other
Which command is used for restoring R object from a file?,3,Other
What is the use of coin package in R?,3,Other
Which function is used for sorting in R?,3,Other
What is the use of tapply?,1,Other
What happens when the application object does not handle an event?,2,Other
Explain app specific objects which store the app contents.,2,Other
Explain the purpose of using UIWindow object?,1,Other
Tell me the super class of all view controller objects.,1,Other
What is the use of abline() function?,1,Other
Why vcd package is used?,1,Other
What is GGobi?,3,Other
What is iPlots?,1,Other
What is the use of lattice package?,3,Other
What is fitdistr() function?,3,Other
Which data structures are used to perform statistical analysis and create graphs.,3,Other
What is the use of sink() function?,2,Other
Why library() function is used?,3,Other
Why search() function is used?,1,Other
On which type of data binary operators are worked?,1,Other
What is the use of doBY package?,1,Other
Define loglm() function.,2,Other
What is the use of corrgram() function?,3,Other
How to create scatterplot matrices?,3,Other
What is npmc?,1,Other
What is the use of diagnostic plots?,1,Other
Define anova() function.,2,Other
What is cv.lm() function?,3,Other
Define stepAIC() function.,3,Other
Define leaps().,3,Other
Define relaimpo package.,2,Other
Why car package is used?,3,Other
Define robust package.,3,Other
What is robustbase?,3,Other
Define plotmeans().,1,Other
What is the full form of MANOVA?,1,Other
What is the use of MANOVA?,2,Other
Define mshapiro.test( ).,3,Other
Define barlett.test().,3,Other
What is fligner.test()?,2,Other
Define hovplot().,1,Other
Which variables are represented by lower case letters?,1,Other
Which variables are represented by upper case letters?,3,Other
Define Survival analysis.,3,Other
What is the use survfit() function?,3,Other
Define survdiff().,3,Other
What is coxph()?,1,Other
In which package survival analysis is defined?,3,Other
What is the use of MASS package?,1,Other
Define qda().,3,Other
Define lda().,1,Other
What is the use of forecast package?,3,Other
Define auto.arima().,1,Other
What is principal() function?,3,Other
What is FactoMineR?,2,Other
What is the full form of CFA?,1,Other
What is the use of boot.sem() function?,1,Other
What is the full form of SEM?,2,Other
Which function performs classical multidimensional scaling?,2,Other
Define isoMDS().,2,Other
Which function perform individual difference scaling?,2,Other
What is pvclust() function ?,3,Other
Define cluster.stats() ?,1,Other
What we use party package?,1,Other
Which package provide the bootstrapping?,1,Other
Define MATLAB package.,3,Other
What is the of use Matrix package?,1,Other
"
Find R Programming Training in Other Regions",2,Other
Check out this video on Data Science Interview Questions:,1,Other
What is Data Science?,1,Other
Differentiate between Data Analytics and Data Science,2,Other
What is a confusion matrix?,1,Other
What do you understand about the true-positive rate and false-positive rate?,2,Other
How is Data Science different from traditional application programming?,1,Other
What is the difference between the long format data and wide format data?,3,Other
Mention some techniques used for sampling. What is the main advantage of sampling?,3,Other
What is bias in Data Science?,1,Other
What is dimensionality reduction?,3,Other
Why is Python used for Data Cleaning in DS?,1,Other
Why is R used in Data Visualization?,2,Other
What are the popular libraries used in Data Science?,2,Other
What is variance in Data Science?,3,Other
What is k-fold cross-validation?,1,Other
Explain how a recommender system works.,3,Other
What is a normal distribution?,1,Other
Explain selection bias.,2,Other
What is the ROC curve?,2,Other
What do you understand by a random forest model?,3,Other
"Two candidates, Aman and Mohan appear for a Data Science Job interview. The probability of Aman cracking the interview is 1/8 and that of Mohan is 5/12. What is the probability that at least one of them will crack the interview?",1,Other
How is Data modeling different from Database design?,2,Other
What is precision?,1,Other
What is a recall?,1,Other
What is the F1 score and how to calculate it?,3,Other
What is a p-value?,3,Other
Why do we use p-value?,1,Other
What is the difference between an error and a residual error?,1,Other
Why do we use the summary function?,1,Other
"Explain univariate, bivariate, and multivariate analyses.",1,Other
How can we handle missing data?,3,Other
What is the benefit of dimensionality reduction?,2,Other
What is a bias-variance trade-off in Data Science?,3,Other
What is RMSE?,1,Other
What is a kernel function in SVM?,1,Other
How can we select an appropriate value of k in k-means?,3,Other
How can we deal with outliers?,3,Other
What is ensemble learning?,2,Other
Explain collaborative filtering in recommender systems.,1,Other
Explain content-based filtering in recommender systems.,2,Other
Explain bagging in Data Science.,2,Other
Explain boosting in Data Science.,3,Other
Explain stacking in Data Science.,1,Other
What does the word ‘Naive’ mean in Naive Bayes?,2,Other
"From the below given ‘diamonds’ dataset, extract only those rows where the ‘price’ value is greater than 1000 and the ‘cut’ is ideal.",3,Other
"Make a scatter plot between ‘price’ and ‘carat’ using ggplot. ‘Price’ should be on the y-axis, ’carat’ should be on the x-axis, and the ‘color’ of the points should be determined by ‘cut.’",1,Other
Introduce 25 percent missing values in this ‘iris’ dataset and impute the ‘Sepal.Length’ column with ‘mean’ and the ‘Petal.Length’ column with ‘median.’,2,Other
Calculate the RMSE values for the model building.,1,Other
Build an ROC curve for the model built,1,Other
"Build a confusion matrix for the model where the threshold value for the probability of predicted values is 0.6, and also find the accuracy of the model.",2,Other
"Build a random forest model on top of this ‘CTG’ dataset, where ‘NSP’ is the dependent variable and all other columns are independent variables.",3,Other
Write a function to calculate the Euclidean distance between two points.,3,Other
Write code to calculate the root mean square error (RMSE) given the lists of values as actual and predicted.,1,Other
Mention the different kernel functions that can be used in SVM.,1,Other
How to detect if the time series data is stationary?,1,Other
What does root cause analysis mean?,2,Other
What is A/B testing?,1,Other
"Out of collaborative filtering and content-based filtering, which one is considered better, and why?",2,Other
"In the following confusion matrix, calculate precision and recall.",3,Other
What is reinforcement learning?,3,Other
Explain TF/IDF vectorization.,1,Other
Compare Mahout & MLlib,1,Other
What is Apache Mahout?,2,Other
What does Apache Mahout do?,3,Other
What is the History of Apache Mahout? When did it start?,1,Other
What are the features of Apache Mahout?,3,Other
What is the Roadmap for Apache Mahout version 1.0?,3,Other
What is the difference between Apache Mahout and Apache Spark’s MLlib?,3,Other
Mention some use cases of Apache Mahout?,1,Other
How can we scale Apache Mahout in Cloud?,2,Other
What is the difference between Strong Artificial Intelligence and Weak Artificial Intelligence?,1,Other
What is Artificial Intelligence?,3,Other
List some applications of AI.,2,Other
List the programming languages used in AI.,2,Other
What are the Examples of AI in real life?,1,Other
What is ANN?,2,Other
"Difference between AI, ML, and DL?",2,Other
How to choose an algorithm for a problem?,3,Other
What is Tower of Hanoi?,3,Other
What is Turing test?,3,Other
What is an expert system? What are the characteristics of an expert system?,3,Other
List the advantages of an expert system. ,2,Other
What is an A* algorithm search method? ,1,Other
What is a breadth-first search algorithm?,2,Other
What is a depth-first search algorithm?,1,Other
What is a bidirectional search algorithm?,2,Other
What is an iterative deepening depth-first search algorithm?,3,Other
What is a uniform cost search algorithm?,2,Other
How are game theory and AI related?,2,Other
Explain Alpha–Beta pruning.,3,Other
What is a fuzzy logic?,3,Other
List the applications of fuzzy logic.,2,Other
What is a partial-order planning?,1,Other
What is FOPL?,1,Other
Differentiate between parametric and non-parametric models.,3,Other
What is Naive Bayes?,3,Other
What is a Backpropagation Algorithm?,2,Other
How route weights are optimized to reduce the error in the model?,2,Other
List the extraction techniques used for dimensionality reduction.,2,Other
What are the components of relational evaluation techniques?,1,Other
What is model accuracy and model performance?,1,Other
Define F1 score.,2,Other
What is a recommendation system?,2,Other
What methods are used for reducing dimensionality?,1,Other
What are the advantages of neural networks?,1,Other
What is Bias–Variance tradeoff?,1,Other
What is TensorFlow?,1,Other
How to install TensorFlow?,1,Other
What are the TensorFlow objects?,3,Other
What is a cost function?,1,Other
List different activation neurons or functions.,1,Other
What are the hyper parameters of ANN?,3,Other
What is vanishing gradient?,1,Other
What are dropouts?,2,Other
Define LSTM.,2,Other
List the key components of LSTM.,1,Other
List the variants of RNN.,3,Other
What is an autoencoder? Name a few applications.,2,Other
What are the components of the generative adversarial network (GAN)? How do you deploy it?,3,Other
What are the steps involved in the gradient descent algorithm?,1,Other
What do you understand by session in TensorFlow?,2,Other
What do you mean by TensorFlow cluster?,2,Other
How to run TensorFlow on Hadoop?,1,Other
What are intermediate tensors? Do sessions have lifetime?,2,Other
What is the lifetime of a variable?,3,Other
Is it possible to solve logical inference in propositional logic?,3,Other
How does face verification work?,1,Other
What are some of the algorithms used for hyperparameter optimization?,3,Other
What is overfitting? How is overfitting fixed?,3,Other
How is overfitting avoided in neural networks?,2,Other
What is the Variance Inflation Factor?,3,Other
What is a Confusion Matrix?,2,Other
What are Type I and Type II Errors?,1,Other
How to handle Missing or Corrupted Data in a Dataset?,3,Other
Why is rotation required in PCA? What will happen if the components are not rotated?,2,Other
What is ROC Curve and what does it represent?,1,Other
Why are Validation and Test Datasets Needed?,2,Other
What is Dimensionality Reduction?,1,Other
"Both being Tree-based Algorithms, how is Random Forest different from Gradient Boosting Machine (GBM)?",1,Other
What is meant by Parametric and Non-parametric Models?,2,Other
Differentiate between Sigmoid and Softmax Functions,2,Other
What do you understand about the P-value?,2,Other
What is meant by Correlation and Covariance?,2,Other
What are the Various Tests for Checking the Normality of a Dataset?,3,Other
Outlier Values can be Discovered from which Tools?,1,Other
What is meant by Ensemble Learning?,2,Other
What are the Various Kernels that are present in SVM?,1,Other
Suppose you found that your model is suffering from high variance. Which algorithm do you think could handle this situation and why?,3,Other
What is Rescaling of Data and how is it done?,3,Other
What is Binarizing of Data? How to Binarize?,1,Other
How to Standardize Data?,1,Other
"We know that one-hot encoding increases the dimensionality of a dataset, but label encoding doesn’t. How?",1,Other
"Imagine you are given a dataset consisting of variables having more than 30% missing values. Let’s say, out of 50 variables, 16 variables have missing values, which is higher than 30%. How will you deal with them?",1,Other
"Explain False Negative, False Positive, True Negative, and True Positive with a simple example.",1,Other
What is F1-score and How Is It Used?,2,Other
: What are the key differences between Data Analysis and Data Mining?,2,Other
: What is Data Validation?,3,Other
": What is Data Analysis, in brief?",1,Other
: How to know if a data model is performing well or not?,3,Other
: Explain Data Cleaning in brief.,1,Other
: What are some of the problems that a working Data Analyst might encounter?,1,Other
: What is Data Profiling?,1,Other
: What are the scenarios that could cause a model to be retrained?,2,Other
: What are the prerequisites to become a Data Analyst?,3,Other
: What are the top tools used to perform Data Analysis?,2,Other
: What is an outlier?,1,Other
: How can we deal with problems that arise when the data flows in from a variety of sources?,2,Other
: What are some of the popular tools used in Big Data?,3,Other
": Explain the KNN imputation method, in brief.",3,Other
: What are the top Apache frameworks used in a distributed computing environment?,1,Other
: What are the steps involved when working with a Data Analysis project?,2,Other
: Can you name some of the statistical methodologies used by Data Analysts?,3,Other
: What is Time Series Analysis?,3,Other
: Where is Time Series Analysis used?,2,Other
: What is Collaborative Filtering?,2,Other
: Which are the types of Hypothesis Testing used today?,2,Other
: What are some of the data validation methodologies used in Data Analysis?,1,Other
: What is K-means algorithm?,1,Other
: What is the difference between the concepts of recall and the true positive rate?,2,Other
: What are the ideal situations in which t-test or z-test can be used?,2,Other
: Why is Naive Bayes called ‘naive’?,2,Other
: What is the simple difference between standardized and unstandardized co-efficients?,3,Other
: How are outliers detected?,3,Other
: Why is KNN preferred when determining missing numbers in data?,2,Other
: How can one handle suspicious or missing data in a dataset while performing analysis?,2,Other
: What is the simple difference between Principal Component Analysis (PCA) and Factor Analysis (FA)?,2,Other
: How is it beneficial to make use of version control?,3,Other
: What are the future trends in Data Analysis?,3,Other
: Why are you applying for the Data Analyst role in our company?,3,Other
: Can you rate yourself on a scale of 1–10 depending on your proficiency in Data Analysis?,3,Other
: Has your college degree helped you with Data Analysis in any way?,3,Other
: What is your plan after taking up this Data Analyst role?,2,Other
: What are the disadvantages of Data Analytics?,3,Other
: What skills should a successful Data Analyst possess?,1,Other
: Why do you think you are the right fit for this Data Analyst role?,3,Other
: Can you please talk about your past Data Analysis work?,3,Other
: Can you please explain how you would estimate the number of visitors to the Taj Mahal in November 2019?,2,Other
: Do you have any experience working in the same industry as ours before?,1,Other
: Have you earned any sort of certifications to boost your opportunities as a Data Analyst aspirant?,3,Other
: What tools do you prefer to use in the various phases of Data Analysis?,1,Other
: Which step of a Data Analysis project do you like the most?,1,Other
: How good are you in terms of explaining technical content to a non-technical audience with respect to Data Analysis?,1,Other
What is Data Engineering?,2,Other
Define Data Modeling.,2,Other
What are some of the design schemas used when performing Data Modeling?,2,Other
What are the differences between structured and unstructured data?,2,Other
What is Hadoop? Explain briefly.,3,Other
What are some of the important components of Hadoop?,3,Other
What is a NameNode in HDFS?,1,Other
What is Hadoop Streaming?,2,Other
What are some of the important features of Hadoop?,2,Other
What are the four Vs of Big Data?,3,Other
What is Block and Block Scanner in HDFS?,2,Other
How does a Block Scanner handle corrupted files?,3,Other
How does the NameNode communicate with the DataNode?,3,Other
What is meant by COSHH?,3,Other
"What is Star Schema, in brief?",3,Other
Explain Snowflake in brief. ,2,Other
State the differences between Star Schema and Snowflake Schema.,2,Other
Name the XML configuration files present in Hadoop.,2,Other
What is the meaning of FSCK?,1,Other
What are some of the methods of Reducer?,1,Other
What are the different usage modes of Hadoop?,3,Other
How is data security ensured in Hadoop?,1,Other
"Which are the default port numbers for Port Tracker, Task Tracker, and NameNode in Hadoop?",3,Other
How does Big Data Analytics help increase the revenue of a company?,2,Other
"In your opinion, what does a Data Engineer majorly do?",1,Other
What are some of the technologies and skills that a Data Engineer should possess?,2,Other
What is the difference between a Data Architect and a Data Engineer?,3,Other
How is the distance between nodes defined when using Hadoop?,1,Other
What is the data stored in the NameNode?,1,Other
What is meant by Rack Awareness?,1,Other
What is a Heartbeat message?,3,Other
What is the use of a Context Object in Hadoop?,2,Other
What is the use of Hive in the Hadoop ecosystem?,2,Other
What is the use of Metastore in Hive?,3,Other
What are the components that are available in the Hive data model?,1,Other
What is the meaning of Skewed tables in Hive?,1,Other
What are the collections that are present in Hive?,1,Other
What is SerDe in Hive?,2,Other
What is the role of the .hiverc file in Hive?,2,Other
What are *args and **kwargs used for?,3,Other
"In brief, what is the difference between a Data Warehouse and a Database?",2,Other
Have you earned any sort of certification to boost your opportunities as a Data Engineer?,1,Other
Why are you applying for the Data Engineer role in our company?,2,Other
What is your plan after joining this Data Engineer role?,1,Other
Do you have prior experience working with Data Modeling?,1,Other
What are stop words?,1,Other
What is NLTK?,1,Other
What is Syntactic Analysis?,3,Other
What is Semantic Analysis?,3,Other
What is Latent Semantic Indexing (LSI)?,3,Other
What are Regular Expressions?,1,Other
What is Regular Grammar?,2,Other
What is TF-IDF?,2,Other
What is Pragmatic Analysis?,2,Other
What is Pragmatic Ambiguity?,2,Other
What is precision and recall?,2,Other
How to tokenize a sentence using the nltk package?,1,Other
Explain how we can do parsing.,2,Other
Explain Stemming with the help of an example.,3,Other
Explain Lemmatization with the help of an example.,1,Other
What is Parts-of-speech Tagging?,1,Other
Explain Named Entity Recognition by implementing it.,3,Other
How to check word similarity using the spacy package?,2,Other
What is a perceptron?,1,Other
What is the meaning of overfitting?,3,Other
What are activation functions?,3,Other
What is the use of the loss function?,3,Other
What is the use of the swish function?,2,Other
What are autoencoders?,2,Other
What are the steps to be followed to use the gradient descent algorithm?,3,Other
Differentiate between a single-layer perceptron and a multi-layer perceptron.,3,Other
What is forward propagation?,2,Other
What is backpropagation?,2,Other
How can hyperparameters be trained in neural networks?,2,Other
What are tensors?,3,Other
What is a Boltzmann machine?,3,Other
What are some of the advantages of using TensorFlow?,2,Other
What is a CNN?,1,Other
What are the various layers present in a CNN?,2,Other
What is a vanishing gradient when using RNNs?,3,Other
What is the use of LSTM?,3,Other
Where are autoencoders used?,1,Other
What are the types of autoencoders?,3,Other
What is a Restricted Boltzmann Machine?,2,Other
What are the variants of gradient descent?,3,Other
Why is mini-batch gradient descent so popular?,3,Other
What are deep autoencoders?,2,Other
Can we initialize the weights of a network to start from zero?,1,Other
What is the meaning of valid padding and same padding in CNN?,1,Other
What are the steps involved in the working of an LSTM network?,3,Other
What are the elements in TensorFlow that are programmable?,1,Other
What are generative adversarial networks (GANs)?,1,Other
Why are generative adversarial networks (GANs) so popular?,3,Other
Check out our TensorFlow Interview Questions and Answers,2,Other
 video on YouTube designed especially for beginners:,3,Other
What is the meaning of TensorBoard?,3,Other
Are there any limitations to using TensorFlow?,2,Other
What are the types of tensors available in TensorFlow?,2,Other
How can data be loaded into TensorFlow?,2,Other
What is the simple working of an algorithm in TensorFlow?,3,Other
What are the methods that can be used to handle overfitting in TensorFlow?,3,Other
What are the languages that are supported in TensorFlow?,2,Other
What are placeholder tensors?,3,Other
What are managers in TensorFlow?,3,Other
Where is TensorFlow mostly used?,1,Other
What are TensorFlow servables?,2,Other
How does the Python API work with TensorFlow?,2,Other
What are some of the APIs outside of the TensorFlow project?,3,Other
What are TensorFlow loaders?,2,Other
What makes TensorFlow advantageous over other libraries?,3,Other
What are TensorFlow abstractions?,2,Other
What are the differences between tf.variable and tf.placeholder in TensorFlow?,3,Other
How is variable lifetime tracked in TensorFlow?,3,Other
What are the types of dashboards supported by TensorFlow?,1,Other
Can TensorFlow be deployed onto a container architecture?,3,Other
Differentiate between TensorFlow and PyTorch.,3,Other
Is word embedding supported in TensorFlow?,3,Other
What is the use of estimators in TensorFlow?,2,Other
What statistical distribution functions are provided by TensorFlow?,2,Other
Can you use TensorBoard without installing TensorFlow?,2,Other
What is the meaning of the embedding projector in TensorFlow?,3,Other
What are the differences between CNN and RNN?,3,Other
What is the difference between Type 1 and Type 2 errors?,3,Other
"When using TensorFlow, is performance always preferred over accuracy?",1,Other
Can you give an example to create a tensor using the constant() function in TensorFlow?,3,Other
What are some of the products that are built using TensorFlow?,3,Other
What is the meaning of Deep Speech?,1,Other
What is the use of a histogram dashboard in TensorFlow?,1,Other
How is audio stored in the audio dashboard?,1,Other
What are some of the components needed to deploy a Lite model file?,3,Other
What is TensorFlow JS?,2,Other
What are activation functions in TensorFlow?,2,Other
What is the code that is used to check the version of TensorFlow using Python?,3,Other
What is model quantization in TensorFlow?,3,Other
What is the simple syntax that can be used to convert a NumPy array into a tensor?,2,Other
How is the weighted standard error computed in TensorFlow?,2,Other
What are some of the commonly used optimizers when training a model in TensorFlow?,1,Other
What is the use of ArrayFlow and FeedDictFlow in TensorFlow?,3,Other
What are some of the parameters to consider when implementing the Word2vec algorithm in TensorFlow?,1,Other
What are some of the important parameters to consider when implementing a random forest algorithm in TensorFlow?,3,Other
What are some of the numerical and categorical loss functions supported when working with TensorFlow?,1,Other
"
Find Artificial Intelligence Training in other cities",1,Other
Check out our video on Statistics Interview Questions on YouTube designed especially for beginners:,1,Other
How is the statistical significance of an insight assessed?,1,Other
Where are long-tailed distributions used?,2,Other
What is the central limit theorem?,1,Other
What is observational and experimental data in Statistics?,3,Other
What is meant by mean imputation for missing data? Why is it bad?,2,Other
What is an outlier? How can outliers be determined in a dataset?,3,Other
How is missing data handled in statistics?,2,Other
What is exploratory data analysis?,3,Other
What is the meaning of selection bias?,2,Other
What are the types of selection bias in statistics?,3,Other
What is the meaning of an inlier?,3,Other
What is the probability of throwing two fair dice when the sum is 5 and 8?,2,Other
State the case where the median is a better measure when compared to the mean.,3,Other
Can you give an example of root cause analysis?,2,Other
What is the meaning of six sigma in statistics?,3,Other
What is DOE?,2,Other
What is the meaning of KPI in statistics?,3,Other
What type of data does not have a log-normal distribution or a Gaussian distribution?,3,Other
What is the Pareto principle?,3,Other
What is the meaning of the five-number summary in Statistics?,1,Other
"What are population and sample in Inferential Statistics, and how are they different?",2,Other
What are quantitative data and qualitative data?,2,Other
What is Mean?,1,Other
What is the meaning of standard deviation?,2,Other
What is a bell-curve distribution?,2,Other
What is skewness?,1,Other
What is kurtosis?,1,Other
What is correlation?,3,Other
What are left-skewed and right-skewed distributions?,3,Other
What is the difference between Descriptive and Inferential Statistics?,2,Other
What are the types of sampling in Statistics?,1,Other
What is the meaning of covariance?,1,Other
"Imagine that Jeremy took part in an examination. The test is having a mean score of 160, and it has a standard deviation of 15. If Jeremy’s z-score is 1.20, what would be his score on the test?",3,Other
"If a distribution is skewed to the right and has a median of 20, will the mean be greater than or less than 20?",2,Other
What is Bessel's correction?,1,Other
"The standard normal curve has a total area to be under one, and it is symmetric around zero. True or False?",3,Other
"In an observation, there is a high correlation between the time a person sleeps and the amount of productive work he does. What can be inferred from this?",3,Other
What is the relationship between the confidence level and the significance level in statistics?,3,Other
What types of variables are used for Pearson’s correlation coefficient?,3,Other
What are the examples of symmetric distribution?,3,Other
Where is inferential statistics used?,2,Other
What is the relationship between mean and median in a normal distribution?,1,Other
"What is the difference between the Ist quartile, the IInd quartile, and the IIIrd quartile?",2,Other
How do the standard error and the margin of error relate?,2,Other
What is one sample t-test?,3,Other
What is an alternative hypothesis?,1,Other
"Given a left-skewed distribution that has a median of 60, what conclusions can we draw about the mean and the mode of the data?",3,Other
What are the types of biases that we encounter while sampling?,1,Other
What are the scenarios where outliers are kept in the data?,3,Other
Briefly explain the procedure to measure the length of all sharks in the world.,3,Other
How does the width of the confidence interval change with length?,1,Other
What is the meaning of degrees of freedom (DF) in statistics?,2,Other
How can you calculate the p-value using MS Excel?,3,Other
What is the law of large numbers in statistics?,1,Other
What are some of the properties of a normal distribution?,1,Other
"If there is a 30 percent probability that you will see a supercar in any 20-minute time interval, what is the proba­bility that you see at least one supercar in the period of an hour (60 minutes)?",3,Other
What is the meaning of sensitivity in statistics?,3,Other
What are the types of biases that you can encounter while sampling?,1,Other
What is the meaning of TF/IDF vectorization?,2,Other
What is the use of Hash tables in statistics?,2,Other
What are some of the techniques to reduce underfitting and overfitting during model training?,2,Other
Can you give an example to denote the working of the central limit theorem?,1,Other
How do you stay up-to-date with the new and upcoming concepts in statistics?,1,Other
What is the benefit of using box plots?,3,Other
Does a symmetric distribution need to be unimodal?,2,Other
What is the impact of outliers in statistics?,1,Other
"When creating a statistical model, how do we detect overfitting?",3,Other
What is a survivorship bias?,3,Other
What is an undercoverage bias?,1,Other
What is the relationship between standard deviation and standard variance?,2,Other
What are the different types of database management systems?,3,Other
What is a default constraint?,2,Other
What is a unique constraint?,3,Other
What is an index?,3,Other
Explain the types of indexes.,1,Other
What are Entities and Relationships?,3,Other
State the differences between clustered and non-clustered indexes.,3,Other
What do you understand about a character manipulation function?,1,Other
What is AUTO_INCREMENT?,1,Other
What is the difference between DELETE and TRUNCATE commands?,1,Other
What is the COALESCE function?,1,Other
What do you understand about normalizationand denormalization?,3,Other
What do you know about the stuff() function?,2,Other
What are Views? Give an example.,1,Other
What is a stored procedure? Give an example.,2,Other
Explain Inner Join with Example.,1,Other
State the differences between views and tables.,3,Other
What do you understand by Self Join? Explain using Example.,1,Other
What is the difference between Union and Union All operators?,2,Other
What is Cursor? How to use a Cursor?,1,Other
What is the use of the Intersect operator?,3,Other
What is the difference between HAVING and WHERE clauses?,1,Other
Explain database white box testing and black box testing.,3,Other
Why is the index used?,3,Other
Who is responsible to update the indexes?,3,Other
What are the various databases available in the market?,1,Other
Explain the types of Synonyms? ,1,Other
What are Hot Backup and Cold Backup?,1,Other
What is the password file and why it is needed?,1,Other
What are datafiles?,1,Other
How do you switch from an init.ora file to a spfile?,2,Other
What is a control file? ,1,Other
How will you recover a lost control file?,1,Other
What do you mean by Red logo files?,3,Other
Define Parameter files?,3,Other
What do you mean by Recovery Catalog?,1,Other
Define system tablespace and why do we need it?,3,Other
How to find the database version?,1,Other
What is the sequence?,3,Other
Explain the advantages of using view?,1,Other
How long does it take for the SYSTEM tablespace to be created?,2,Other
What is the relationship between tablespace and datafiles?,1,Other
How do we use the materialized view?,1,Other
What is the use of the SELECT statement?,1,Other
How can you compare a part of the name rather than the entire name?,1,Other
What is the definition of GROUP BY?,1,Other
List out the tools for administering the database.,3,Other
Differentiate between a cluster and a grid.,3,Other
What is SQL*plus? And what can be done with it?,1,Other
What kind of information can be given while creating a sequence?,2,Other
Explain how the “Database Writer” process works?,1,Other
What are the instance parameters that are used for configuring shared server architecture?,2,Other
What is a Trigger and what are its uses?,1,Other
What are the Basic Parts of a Trigger?,2,Other
What is a Join?,1,Other
What is a View?,1,Other
"What do you know about the Commands COMMIT, ROLLBACK, and SAVEPOINT?",2,Other
What is Exception Handling?,2,Other
Mention a Few Predefined Exceptions,3,Other
Why are Database Links Used?,2,Other
What is a Stored Procedure?,2,Other
What is the Overloading of a Procedure?,3,Other
What is meant by Expressions?,2,Other
"Which Cursor Attributes are the Result of a Saved DML Statement, when it is Executed?",3,Other
What is a Cursor? Why is it Required?,1,Other
What are the Types of Cursors?,1,Other
What is the Open Cursor Command Function?,3,Other
How to Delete a Trigger?,2,Other
What are the Advantages of Stored Procedures?,3,Other
What is the Advantage of Implicit Records?,3,Other
What is %TYPE?,2,Other
What is %ROWTYPE?,2,Other
Differentiate between a Temporary Tablespace and a Permanent Tablespace,1,Other
What are Pseudocolumns and how do they work? How can Pseudocolumns be used in Procedure Statements?,1,Other
What is the use of the || Operator?,1,Other
What is raise_application_error?,1,Other
What is the Syntax to Disable a Trigger?,2,Other
Which Command is used for Deleting a Package?,1,Other
How can you Execute a Stored Procedure?,2,Other
What are the differences between ANY and ALL operators?,2,Other
How to Create a Function?,3,Other
How can you Switch from an Init.ora File to Spfile?,3,Other
What is a Subquery? What are Its Types?,2,Other
How can the duplicate values be eliminated from DB2 SELECT?,1,Other
What is Aggregate?,3,Other
Is it possible using MAX on a CHAR column?,3,Other
When is the LIKE statement used?,1,Other
How is the value function used?,2,Other
What are UNION and UNION ALL?,3,Other
What do you mean by BETWEEN and IN? Is BETWEEN inclusive of specified range values?,2,Other
What is a CURSOR and what is its use?,2,Other
What is the result of the OPEN CURSOR statement?,1,Other
Can there be more than one cursor open for any program?,3,Other
How would the VARCHAR column REMARKS be defined?,2,Other
"What is the physical storage length of each of the data types, DATE, TIME, and TIMESTAMP?",3,Other
What is meant by DCLGEN?,1,Other
What are the contents of DCLGEN?,3,Other
What are some of the main fields in SQLCA?,3,Other
What is meant by EXPLAIN?,1,Other
What are the isolation levels possible?,1,Other
What is the difference between CS and RR isolation levels?,2,Other
What is meant by Lock Escalation?,1,Other
What are the various types of Locks?,3,Other
What is ALTER?,1,Other
What do you understand by DBRM and PLAN?,3,Other
What is meant by ACQUIRE/RELEASE in BIND?,3,Other
What is meant by PACKAGES?,3,Other
What are the advantages of using PACKAGES?,2,Other
What is the Traditional Network Library for a system?,1,Other
"What do DDL, DML, and DCL stand for?",3,Other
What is the difference between CHAR and VARCHAR?,2,Other
What are Heap Tables?,1,Other
How can you change the root password if it is lost?,1,Other
How to resolve the problem of the data disk that is full?,2,Other
What is the difference between BLOB and TEXT?,1,Other
What is the TIMESTAMP data type?,1,Other
What is the function of mysqldump?,2,Other
What is an access control list?,3,Other
Why is SHRINKFILE / SHRINKDB / AUTOSHRINK not preferable?,2,Other
What are Hotfixes and Patches?,3,Other
Which port do you need to open on your server firewall to enable named pipe connections?,1,Other
"Suppose, we have 300 SSIS packages to be deployed to production. How can we make it easier? What are the easy and short ways to deploy all SSIS packages at once?",2,Other
How to decide between active and passive nodes?,3,Other
Can we take a backup for Resource DB?,2,Other
How to rollback the upgrade?,1,Other
How to speed up the DBCC CHECKDB execution process?,2,Other
What is PHYSICAL_ONLY in DBCC CHECKDB?,3,Other
How to check data purity using DBCC CHECKDB?,1,Other
"How long are locks held/retained within the REPEATABLE_READ and SERIALIZABLE isolation levels during a read operation, assuming a row-level locking?",1,Other
Which two isolation levels support optimistic/row-version-based concurrency control?,2,Other
What database options must be set to allow the use of an optimistic concurrency control model?,1,Other
Explain the purpose of Intent locks.,1,Other
How to read the graphical execution plan?,1,Other
What are the permissions required to view the execution plan?,2,Other
Briefly explain Digital Marketing.,3,Other
