Questions,Difficulty 
What do you mean by Cognitive Cybersecurity?,2
What is the difference between VPN and VLAN?,2
Explain phishing. How to prevent it?,1
Explain SQL injection. How to prevent it?,1
You have a suture from where you receive the following email from the help desk:,1
You get an e-card in your mail from a friend. It asks you to download an attachment to view the card. What will you do? Justify your answer.,1
"A staff member in a company subscribes to various free magazines. To activate the subscription, the first magazine asks her for her birth month, the second magazine asks for her birth year, and the third magazine asks for her maiden name. What do you deduce from the above situation? Justify your answer.",3
"To print billing, you have to provide your login credentials in your computing labs. Recently, people started to get a bill for the print, which was never done by them. When they called to complain, the bill turned out to be correct. How do you explain the above situation? ",3
"In our campus computer lab, one of my friends logged into her Yahoo account. When she left the lab, she made sure that the account was not left open. Later, she came to realize that someone re-accessed her account from the browser, which she has used to send emails, by impersonating her. How do you think this happened?",2
An employee’s bank account faces an error during a direct deposit. Two different offices need to work on it to straighten this out. Office #1 contacts Office #2 by email to send the valid account information for the deposit. The employee now gives the bank confirmations that the error no longer exists. What is wrong here?,3
"You see an unusual activity of the mouse pointer, which starts to move around on its own and clicks on various things on the desktop. What should you do in this situation?",2
"Check out the list of passwords below, which are pulled out from a database:",3
"The bank sends you an email, which says it has encountered a problem with your account. The email is provided with instructions and also a link to log in to the account so that you can fix it. What do you infer from the above situation? Explain.",2
"In your IT company, employees are registering numerous complaints that the campus computers are delivering Viagra spam. To verify it, you check the reports, and it turns out to be correct. The computer program is automatically sending tons of spam emails without the owner’s knowledge. This happened because a hacker had installed a malicious program into the system. What are the reasons you think might have caused this incident? ",1
"
Find Cybersecurity Training in Other Regions",3
Compare R & Python,2
Explain the data import in R language.,1
Explain how to communicate the outputs of data analysis using R language.,3
Difference between library () and require () functions in R language.,1
What is R?,1
How R commands are written?,2
What is t-tests() in R?,3
What are the disadvantages of R Programming?,1
What is the use of With () and By () function in R?,3
"In R programming, how missing values are represented?",2
What is the use of subset() and sample() function in R?,3
Explain what is transpose.,3
What are the advantages of R?,1
What is the function used for adding datasets in R?,3
How you can produce co-relations and covariances?,1
What is difference between matrix and dataframes?,1
What is difference between lapply and sapply?,3
What is the difference between seq(4) and seq_along(4)?,3
Explain how you can start the R commander GUI.,3
What is the memory limit of R?,3
How many data structures R has?,3
Explain how data is aggregated in R.,1
How many sorting algorithms are available?,2
How to create new variable in R programming?,1
What are R packages?,2
What is the workspace in R?,2
What is the function which is used for merging of data frames horizontally in R?,1
what is the function which is used for merging of data frames vertically in R?,3
What is the power analysis?,1
Which package is used for power analysis in R?,2
Which method is used for exporting the data in R?,1
Which packages are used for exporting of data?,1
How impossible values are represented in R?,1
Which command is used for storing R object into a file?,3
Which command is used for restoring R object from a file?,3
What is the use of coin package in R?,3
Which function is used for sorting in R?,3
What is the use of tapply?,1
What happens when the application object does not handle an event?,2
Explain app specific objects which store the app contents.,2
Explain the purpose of using UIWindow object?,1
Tell me the super class of all view controller objects.,1
How to create axes in the graph?,2
What is the use of abline() function?,1
Why vcd package is used?,1
What is GGobi?,3
What is iPlots?,1
What is the use of lattice package?,3
What is fitdistr() function?,3
Which data structures are used to perform statistical analysis and create graphs.,3
What is the use of sink() function?,2
Why library() function is used?,3
Why search() function is used?,1
On which type of data binary operators are worked?,1
What is the use of doBY package?,1
Which function is used to create frequency table?,3
Define loglm() function.,2
What is the use of corrgram() function?,3
How to create scatterplot matrices?,3
What is npmc?,1
What is the use of diagnostic plots?,1
Define anova() function.,2
What is cv.lm() function?,3
Define stepAIC() function.,3
Define leaps().,3
Define relaimpo package.,2
Why car package is used?,3
Define robust package.,3
What is robustbase?,3
Define plotmeans().,1
What is the full form of MANOVA?,1
What is the use of MANOVA?,2
Define mshapiro.test( ).,3
Define barlett.test().,3
What is fligner.test()?,2
Define hovplot().,1
Which variables are represented by lower case letters?,1
Which variables are represented by upper case letters?,3
What is logistic regression?,1
Define Poison regression.,2
Define Survival analysis.,3
What is the use survfit() function?,3
Define survdiff().,3
What is coxph()?,1
In which package survival analysis is defined?,3
What is the use of MASS package?,1
Define qda().,3
Define lda().,1
What is the use of forecast package?,3
Define auto.arima().,1
What is principal() function?,3
What is FactoMineR?,2
What is the full form of CFA?,1
What is the use of boot.sem() function?,1
What is the full form of SEM?,2
Which function performs classical multidimensional scaling?,2
Define isoMDS().,2
Which function perform individual difference scaling?,2
What is pvclust() function ?,3
Define cluster.stats() ?,1
What we use party package?,1
Which package provide the bootstrapping?,1
Define MATLAB package.,3
What is the of use Matrix package?,1
"
Find R Programming Training in Other Regions",2
Check out this video on Data Science Interview Questions:,1
What is Data Science?,1
Differentiate between Data Analytics and Data Science,2
What do you understand about linear regression?,1
What do you understand by logistic regression?,3
What is a confusion matrix?,1
What do you understand about the true-positive rate and false-positive rate?,2
How is Data Science different from traditional application programming?,1
Explain the differences between supervised and unsupervised learning.,2
What is the difference between the long format data and wide format data?,3
Mention some techniques used for sampling. What is the main advantage of sampling?,3
What is bias in Data Science?,1
What is dimensionality reduction?,3
Why is Python used for Data Cleaning in DS?,1
Why is R used in Data Visualization?,2
What are the popular libraries used in Data Science?,2
What is variance in Data Science?,3
What is pruning in a decision tree algorithm?,3
What is entropy in a decision tree algorithm?,3
What information is gained in a decision tree algorithm?,3
What is k-fold cross-validation?,1
Explain how a recommender system works.,3
What is a normal distribution?,1
What is Deep Learning?,3
What is an RNN (recurrent neural network)?,3
Explain selection bias.,2
What is the ROC curve?,2
What do you understand by a decision tree?,1
What do you understand by a random forest model?,3
"Two candidates, Aman and Mohan appear for a Data Science Job interview. The probability of Aman cracking the interview is 1/8 and that of Mohan is 5/12. What is the probability that at least one of them will crack the interview?",1
How is Data modeling different from Database design?,2
What is precision?,1
What is a recall?,1
What is the F1 score and how to calculate it?,3
What is a p-value?,3
Why do we use p-value?,1
What is the difference between an error and a residual error?,1
Why do we use the summary function?,1
How are Data Science and Machine Learning related to each other?,2
"Explain univariate, bivariate, and multivariate analyses.",1
How can we handle missing data?,3
What is the benefit of dimensionality reduction?,2
What is a bias-variance trade-off in Data Science?,3
What is RMSE?,1
What is a kernel function in SVM?,1
How can we select an appropriate value of k in k-means?,3
How can we deal with outliers?,3
How to calculate the accuracy of a binary classification algorithm using its confusion matrix?,1
What is ensemble learning?,2
Explain collaborative filtering in recommender systems.,1
Explain content-based filtering in recommender systems.,2
Explain bagging in Data Science.,2
Explain boosting in Data Science.,3
Explain stacking in Data Science.,1
Explain how Machine Learning is different from Deep Learning.,1
What does the word ‘Naive’ mean in Naive Bayes?,2
"From the below given ‘diamonds’ dataset, extract only those rows where the ‘price’ value is greater than 1000 and the ‘cut’ is ideal.",3
"Make a scatter plot between ‘price’ and ‘carat’ using ggplot. ‘Price’ should be on the y-axis, ’carat’ should be on the x-axis, and the ‘color’ of the points should be determined by ‘cut.’",1
Introduce 25 percent missing values in this ‘iris’ dataset and impute the ‘Sepal.Length’ column with ‘mean’ and the ‘Petal.Length’ column with ‘median.’,2
"Implement simple linear regression in R on this ‘mtcars’ dataset, where the dependent variable is ‘mpg’ and the independent variable is ‘disp.’",1
Calculate the RMSE values for the model building.,1
Implement simple linear regression in Python on this ‘Boston’ dataset where the dependent variable is ‘medv’ and the independent variable is ‘lstat.’,1
Implement logistic regression on this ‘heart’ dataset in R where the dependent variable is ‘target’ and the independent variable is ‘age.’,3
Build an ROC curve for the model built,1
"Build a confusion matrix for the model where the threshold value for the probability of predicted values is 0.6, and also find the accuracy of the model.",2
Build a logistic regression model on the ‘customer_churn’ dataset in Python. The dependent variable is ‘Churn’ and the independent variable is ‘MonthlyCharges.’ Find the log_loss of the model.,1
"Build a decision tree model on ‘Iris’ dataset where the dependent variable is ‘Species,’ and all other columns are independent variables. Find the accuracy of the model built.",2
"Build a random forest model on top of this ‘CTG’ dataset, where ‘NSP’ is the dependent variable and all other columns are independent variables.",3
Write a function to calculate the Euclidean distance between two points.,3
Write code to calculate the root mean square error (RMSE) given the lists of values as actual and predicted.,1
Mention the different kernel functions that can be used in SVM.,1
How to detect if the time series data is stationary?,1
Write code to calculate the accuracy of a binary classification algorithm using its confusion matrix.,2
What does root cause analysis mean?,2
What is A/B testing?,1
"Out of collaborative filtering and content-based filtering, which one is considered better, and why?",2
"In the following confusion matrix, calculate precision and recall.",3
Write a function that when called with a confusion matrix for a binary classification model returns a dictionary with its precision and recall.,3
What is reinforcement learning?,3
Explain TF/IDF vectorization.,1
What are the assumptions required for linear regression?,1
What happens when some of the assumptions required for linear regression are violated?,1
Compare Mahout & MLlib,1
What is Apache Mahout?,2
What does Apache Mahout do?,3
What is the History of Apache Mahout? When did it start?,1
What are the features of Apache Mahout?,3
How is it different from doing machine learning in R or SAS?,2
Mention some machine learning algorithms exposed by Mahout?,1
What is the Roadmap for Apache Mahout version 1.0?,3
What is the difference between Apache Mahout and Apache Spark’s MLlib?,3
Mention some use cases of Apache Mahout?,1
How can we scale Apache Mahout in Cloud?,2
What is the difference between Strong Artificial Intelligence and Weak Artificial Intelligence?,1
What is Artificial Intelligence?,3
List some applications of AI.,2
List the programming languages used in AI.,2
What are the Examples of AI in real life?,1
What is ANN?,2
"Difference between AI, ML, and DL?",2
How to choose an algorithm for a problem?,3
What is Tower of Hanoi?,3
What is Turing test?,3
What is an expert system? What are the characteristics of an expert system?,3
List the advantages of an expert system. ,2
What is an A* algorithm search method? ,1
What is a breadth-first search algorithm?,2
What is a depth-first search algorithm?,1
What is a bidirectional search algorithm?,2
What is an iterative deepening depth-first search algorithm?,3
What is a uniform cost search algorithm?,2
How are game theory and AI related?,2
Explain Alpha–Beta pruning.,3
What is a fuzzy logic?,3
List the applications of fuzzy logic.,2
What is a partial-order planning?,1
What is FOPL?,1
"What is the difference between inductive, deductive, and abductive Machine Learning?",2
List the different algorithm techniques in Machine Learning.,1
"Differentiate between supervised, unsupervised, and reinforcement learning.",1
Differentiate between parametric and non-parametric models.,3
Name a few Machine Learning algorithms you know.,2
What is Naive Bayes?,3
What is a Backpropagation Algorithm?,2
How route weights are optimized to reduce the error in the model?,2
What is perceptron in Machine Learning?,1
List the extraction techniques used for dimensionality reduction.,2
Is KNN different from K-means Clustering?,1
List the steps involved in Machine Learning.,2
What is a hash table?,3
What is regularization in Machine Learning?,3
What are the components of relational evaluation techniques?,1
What is model accuracy and model performance?,1
Define F1 score.,2
List the applications of Machine Learning.,2
Can you name three feature selection techniques in Machine Learning?,1
What is a recommendation system?,2
What methods are used for reducing dimensionality?,1
List different methods for sequential supervised learning.,2
What are the advantages of neural networks?,1
What is Bias–Variance tradeoff?,1
What is TensorFlow?,1
How to install TensorFlow?,1
What are the TensorFlow objects?,3
What is a cost function?,1
List different activation neurons or functions.,1
What are the hyper parameters of ANN?,3
What is vanishing gradient?,1
What are dropouts?,2
Define LSTM.,2
List the key components of LSTM.,1
List the variants of RNN.,3
What is an autoencoder? Name a few applications.,2
What are the components of the generative adversarial network (GAN)? How do you deploy it?,3
What are the steps involved in the gradient descent algorithm?,1
What do you understand by session in TensorFlow?,2
What do you mean by TensorFlow cluster?,2
How to run TensorFlow on Hadoop?,1
What are intermediate tensors? Do sessions have lifetime?,2
What is the lifetime of a variable?,3
Is it possible to solve logical inference in propositional logic?,3
How does face verification work?,1
What are some of the algorithms used for hyperparameter optimization?,3
What is overfitting? How is overfitting fixed?,3
How is overfitting avoided in neural networks?,2
"Explain Machine Learning, Artificial Intelligence, and Deep Learning",3
What is Bias and Variance in Machine Learning?,2
What is Clustering in Machine Learning?,1
What is Linear Regression in Machine Learning?,1
What is a Decision Tree in Machine Learning?,1
What is Overfitting in Machine Learning and how can it be avoided?,3
What is Hypothesis in Machine Learning?,3
What are the differences between Deep Learning and Machine Learning?,3
What are the differences between Supervised and Unsupervised Machine Learning?,1
What is Bayes’s Theorem in Machine Learning?,2
What is PCA in Machine Learning?,1
What is Support Vector Machine (SVM) in Machine Learning?,3
What is Cross-validation in Machine Learning?,1
What is Entropy in Machine Learning?,2
What is Epoch in Machine Learning?,1
What are the types of Machine Learning?,2
Differentiate between Classification and Regression in Machine Learning,1
How is the suitability of a Machine Learning Algorithm determined for a particular problem?,1
What is the Variance Inflation Factor?,3
What is a Confusion Matrix?,2
What are Type I and Type II Errors?,1
When should Classification be used over Regression?,2
Explain Logistic Regression,3
How to handle Missing or Corrupted Data in a Dataset?,3
Why is rotation required in PCA? What will happen if the components are not rotated?,2
What is ROC Curve and what does it represent?,1
Why are Validation and Test Datasets Needed?,2
Explain the difference between KNN and K-means Clustering,2
What is Dimensionality Reduction?,1
"Both being Tree-based Algorithms, how is Random Forest different from Gradient Boosting Machine (GBM)?",1
What is meant by Parametric and Non-parametric Models?,2
Differentiate between Sigmoid and Softmax Functions,2
"In Machine Learning, for how many classes can Logistic Regression be used?",2
What do you understand about the P-value?,2
What is meant by Correlation and Covariance?,2
What are the Various Tests for Checking the Normality of a Dataset?,3
What are the Two Main Types of Filtering in Machine Learning? Explain.,1
Outlier Values can be Discovered from which Tools?,1
What is meant by Ensemble Learning?,2
What are the Various Kernels that are present in SVM?,1
Suppose you found that your model is suffering from high variance. Which algorithm do you think could handle this situation and why?,3
What is Rescaling of Data and how is it done?,3
What is Binarizing of Data? How to Binarize?,1
How to Standardize Data?,1
"We know that one-hot encoding increases the dimensionality of a dataset, but label encoding doesn’t. How?",1
Executing a binary classification tree algorithm is a simple task. But how does tree splitting take place? How does the tree determine which variable to break at the root node and which at its child nodes?,3
"Imagine you are given a dataset consisting of variables having more than 30% missing values. Let’s say, out of 50 variables, 16 variables have missing values, which is higher than 30%. How will you deal with them?",1
"Explain False Negative, False Positive, True Negative, and True Positive with a simple example.",1
What is F1-score and How Is It Used?,2
How to Implement the KNN Classification Algorithm?,3
"
Find Online Machine Learning course in Other Regions",1
: What are the key differences between Data Analysis and Data Mining?,2
: What is Data Validation?,3
": What is Data Analysis, in brief?",1
: How to know if a data model is performing well or not?,3
: Explain Data Cleaning in brief.,1
: What are some of the problems that a working Data Analyst might encounter?,1
: What is Data Profiling?,1
: What are the scenarios that could cause a model to be retrained?,2
: What are the prerequisites to become a Data Analyst?,3
: What are the top tools used to perform Data Analysis?,2
: What is an outlier?,1
: How can we deal with problems that arise when the data flows in from a variety of sources?,2
: What are some of the popular tools used in Big Data?,3
: What is the use of a Pivot table?,3
": Explain the KNN imputation method, in brief.",3
: What are the top Apache frameworks used in a distributed computing environment?,1
: What is Hierarchical Clustering?,1
: What are the steps involved when working with a Data Analysis project?,2
: Can you name some of the statistical methodologies used by Data Analysts?,3
: What is Time Series Analysis?,3
: Where is Time Series Analysis used?,2
: What are some of the properties of clustering algorithms?,1
: What is Collaborative Filtering?,2
: Which are the types of Hypothesis Testing used today?,2
: What are some of the data validation methodologies used in Data Analysis?,1
: What is K-means algorithm?,1
: What is the difference between the concepts of recall and the true positive rate?,2
: What are the ideal situations in which t-test or z-test can be used?,2
: Why is Naive Bayes called ‘naive’?,2
: What is the simple difference between standardized and unstandardized co-efficients?,3
: How are outliers detected?,3
: Why is KNN preferred when determining missing numbers in data?,2
: How can one handle suspicious or missing data in a dataset while performing analysis?,2
: What is the simple difference between Principal Component Analysis (PCA) and Factor Analysis (FA)?,2
: How is it beneficial to make use of version control?,3
: What are the future trends in Data Analysis?,3
: Why are you applying for the Data Analyst role in our company?,3
: Can you rate yourself on a scale of 1–10 depending on your proficiency in Data Analysis?,3
: Has your college degree helped you with Data Analysis in any way?,3
: What is your plan after taking up this Data Analyst role?,2
: What are the disadvantages of Data Analytics?,3
: What skills should a successful Data Analyst possess?,1
: Why do you think you are the right fit for this Data Analyst role?,3
: Can you please talk about your past Data Analysis work?,3
: Can you please explain how you would estimate the number of visitors to the Taj Mahal in November 2019?,2
: Do you have any experience working in the same industry as ours before?,1
: Have you earned any sort of certifications to boost your opportunities as a Data Analyst aspirant?,3
: What tools do you prefer to use in the various phases of Data Analysis?,1
: Which step of a Data Analysis project do you like the most?,1
: How good are you in terms of explaining technical content to a non-technical audience with respect to Data Analysis?,1
What is Data Engineering?,2
Define Data Modeling.,2
What are some of the design schemas used when performing Data Modeling?,2
What are the differences between structured and unstructured data?,2
What is Hadoop? Explain briefly.,3
What are some of the important components of Hadoop?,3
What is a NameNode in HDFS?,1
What is Hadoop Streaming?,2
What are some of the important features of Hadoop?,2
What are the four Vs of Big Data?,3
What is Block and Block Scanner in HDFS?,2
How does a Block Scanner handle corrupted files?,3
How does the NameNode communicate with the DataNode?,3
What is meant by COSHH?,3
"What is Star Schema, in brief?",3
Explain Snowflake in brief. ,2
State the differences between Star Schema and Snowflake Schema.,2
Name the XML configuration files present in Hadoop.,2
What is the meaning of FSCK?,1
What are some of the methods of Reducer?,1
What are the different usage modes of Hadoop?,3
How is data security ensured in Hadoop?,1
"Which are the default port numbers for Port Tracker, Task Tracker, and NameNode in Hadoop?",3
How does Big Data Analytics help increase the revenue of a company?,2
"In your opinion, what does a Data Engineer majorly do?",1
What are some of the technologies and skills that a Data Engineer should possess?,2
What is the difference between a Data Architect and a Data Engineer?,3
How is the distance between nodes defined when using Hadoop?,1
What is the data stored in the NameNode?,1
What is meant by Rack Awareness?,1
What is a Heartbeat message?,3
What is the use of a Context Object in Hadoop?,2
What is the use of Hive in the Hadoop ecosystem?,2
What is the use of Metastore in Hive?,3
What are the components that are available in the Hive data model?,1
Can you create more than a single table for an individual data file?,2
What is the meaning of Skewed tables in Hive?,1
What are the collections that are present in Hive?,1
What is SerDe in Hive?,2
What are the table creation functions present in Hive?,2
What is the role of the .hiverc file in Hive?,2
What are *args and **kwargs used for?,3
How can you see the structure of a database using MySQL?,1
Can you search for a specific string in a column present in a MySQL table?,3
"In brief, what is the difference between a Data Warehouse and a Database?",2
Have you earned any sort of certification to boost your opportunities as a Data Engineer?,1
Why are you applying for the Data Engineer role in our company?,2
What is your plan after joining this Data Engineer role?,1
Do you have prior experience working with Data Modeling?,1
Watch this video on Natural Language Processing Interview Questions for Beginners:,3
What do you understand by Natural Language Processing?,2
If you want to learn Natural Language Processing then go through the following tutorial:,3
List any two real-life applications of Natural Language Processing.,2
What are stop words?,1
What is NLTK?,1
What is Syntactic Analysis?,3
What is Semantic Analysis?,3
List the components of Natural Language Processing.,3
What is Latent Semantic Indexing (LSI)?,3
What are Regular Expressions?,1
What is Regular Grammar?,2
What is Parsing in the context of NLP?,1
What is TF-IDF?,2
Define the terminology in NLP.,1
Explain Dependency Parsing in NLP.,2
What is the difference between NLP and NLU?,1
What is the difference between NLP and CI?,2
What is Pragmatic Analysis?,2
What is Pragmatic Ambiguity?,2
"What are unigrams, bigrams, trigrams, and n-grams in NLP?",2
What are the steps involved in solving an NLP problem?,2
What is Feature Extraction in NLP?,3
What is precision and recall?,2
What is F1 score in NLP?,1
How to tokenize a sentence using the nltk package?,1
Explain how we can do parsing.,2
Explain Stemming with the help of an example.,3
Explain Lemmatization with the help of an example.,1
What is Parts-of-speech Tagging?,1
Explain Named Entity Recognition by implementing it.,3
How to check word similarity using the spacy package?,2
"Check out our Deep Learning Interview Questions And Answers on YouTube, designed especially for beginners:",2
What is the difference between Machine Learning and Deep Learning?,2
What is a perceptron?,1
How is Deep Learning better than Machine Learning?,3
What are some of the most used applications of Deep Learning?,3
What is the meaning of overfitting?,3
What are activation functions?,3
Why is Fourier transform used in Deep Learning?,2
What are the steps involved in training a perception in Deep Learning?,2
What is the use of the loss function?,3
What are some of the Deep Learning frameworks or tools that you have used?,1
What is the use of the swish function?,2
What are autoencoders?,2
What are the steps to be followed to use the gradient descent algorithm?,3
Differentiate between a single-layer perceptron and a multi-layer perceptron.,3
What is data normalization in Deep Learning?,2
What is forward propagation?,2
What is backpropagation?,2
What are hyperparameters in Deep Learning?,2
How can hyperparameters be trained in neural networks?,2
What is the meaning of dropout in Deep Learning?,2
What are tensors?,3
What is the meaning of model capacity in Deep Learning?,1
What is a Boltzmann machine?,3
What are some of the advantages of using TensorFlow?,2
What is a computational graph in Deep Learning?,1
What is a CNN?,1
What are the various layers present in a CNN?,2
What is an RNN in Deep Learning?,3
What is a vanishing gradient when using RNNs?,3
What is exploding gradient descent in Deep Learning?,3
What is the use of LSTM?,3
Where are autoencoders used?,1
What are the types of autoencoders?,3
What is a Restricted Boltzmann Machine?,2
What are some of the limitations of Deep Learning?,3
What are the variants of gradient descent?,3
Why is mini-batch gradient descent so popular?,3
What are deep autoencoders?,2
Why is the Leaky ReLU function used in Deep Learning?,2
What are some of the examples of supervised learning algorithms in Deep Learning?,3
What are some of the examples of unsupervised learning algorithms in Deep Learning?,2
Can we initialize the weights of a network to start from zero?,1
What is the meaning of valid padding and same padding in CNN?,1
What are some of the applications of transfer learning in Deep Learning?,3
How is the transformer architecture better than RNNs in Deep Learning?,3
What are the steps involved in the working of an LSTM network?,3
What are the elements in TensorFlow that are programmable?,1
What is the meaning of bagging and boosting in Deep Learning?,1
What are generative adversarial networks (GANs)?,1
Why are generative adversarial networks (GANs) so popular?,3
Check out our TensorFlow Interview Questions and Answers,2
 video on YouTube designed especially for beginners:,3
What is the meaning of TensorBoard?,3
Are there any limitations to using TensorFlow?,2
What are the types of tensors available in TensorFlow?,2
How can data be loaded into TensorFlow?,2
What is the simple working of an algorithm in TensorFlow?,3
What are the methods that can be used to handle overfitting in TensorFlow?,3
What are the languages that are supported in TensorFlow?,2
What are placeholder tensors?,3
What are managers in TensorFlow?,3
Where is TensorFlow mostly used?,1
What are TensorFlow servables?,2
How does the Python API work with TensorFlow?,2
What are some of the APIs outside of the TensorFlow project?,3
What are TensorFlow loaders?,2
What makes TensorFlow advantageous over other libraries?,3
What are TensorFlow abstractions?,2
What are the differences between tf.variable and tf.placeholder in TensorFlow?,3
What is a graph explorer in TensorFlow?,2
How is variable lifetime tracked in TensorFlow?,3
What are the types of dashboards supported by TensorFlow?,1
Can TensorFlow be deployed onto a container architecture?,3
Differentiate between TensorFlow and PyTorch.,3
Is word embedding supported in TensorFlow?,3
What is the use of estimators in TensorFlow?,2
What statistical distribution functions are provided by TensorFlow?,2
Can you use TensorBoard without installing TensorFlow?,2
What is the meaning of the embedding projector in TensorFlow?,3
What are the differences between CNN and RNN?,3
What is the difference between Type 1 and Type 2 errors?,3
"When using TensorFlow, is performance always preferred over accuracy?",1
Can you give an example to create a tensor using the constant() function in TensorFlow?,3
What are some of the products that are built using TensorFlow?,3
What is the meaning of Deep Speech?,1
What is the use of a histogram dashboard in TensorFlow?,1
How is audio stored in the audio dashboard?,1
What are some of the components needed to deploy a Lite model file?,3
What is TensorFlow JS?,2
What are activation functions in TensorFlow?,2
What is the code that is used to check the version of TensorFlow using Python?,3
What is model quantization in TensorFlow?,3
What is the simple syntax that can be used to convert a NumPy array into a tensor?,2
How is the weighted standard error computed in TensorFlow?,2
What are some of the commonly used optimizers when training a model in TensorFlow?,1
What is the use of ArrayFlow and FeedDictFlow in TensorFlow?,3
What are some of the parameters to consider when implementing the Word2vec algorithm in TensorFlow?,1
What are some of the important parameters to consider when implementing a random forest algorithm in TensorFlow?,3
What are some of the numerical and categorical loss functions supported when working with TensorFlow?,1
"
Find Artificial Intelligence Training in other cities",1
Check out our video on Statistics Interview Questions on YouTube designed especially for beginners:,1
How is the statistical significance of an insight assessed?,1
Where are long-tailed distributions used?,2
What is the central limit theorem?,1
What is observational and experimental data in Statistics?,3
What is meant by mean imputation for missing data? Why is it bad?,2
What is an outlier? How can outliers be determined in a dataset?,3
How is missing data handled in statistics?,2
What is exploratory data analysis?,3
What is the meaning of selection bias?,2
What are the types of selection bias in statistics?,3
What is the meaning of an inlier?,3
What is the probability of throwing two fair dice when the sum is 5 and 8?,2
State the case where the median is a better measure when compared to the mean.,3
Can you give an example of root cause analysis?,2
What is the meaning of six sigma in statistics?,3
What is DOE?,2
What is the meaning of KPI in statistics?,3
What type of data does not have a log-normal distribution or a Gaussian distribution?,3
What is the Pareto principle?,3
What is the meaning of the five-number summary in Statistics?,1
"What are population and sample in Inferential Statistics, and how are they different?",2
What are quantitative data and qualitative data?,2
What is Mean?,1
What is the meaning of standard deviation?,2
What is a bell-curve distribution?,2
What is skewness?,1
What is kurtosis?,1
What is correlation?,3
What are left-skewed and right-skewed distributions?,3
What is the difference between Descriptive and Inferential Statistics?,2
What are the types of sampling in Statistics?,1
What is the meaning of covariance?,1
"Imagine that Jeremy took part in an examination. The test is having a mean score of 160, and it has a standard deviation of 15. If Jeremy’s z-score is 1.20, what would be his score on the test?",3
"If a distribution is skewed to the right and has a median of 20, will the mean be greater than or less than 20?",2
What is Bessel's correction?,1
"The standard normal curve has a total area to be under one, and it is symmetric around zero. True or False?",3
"In an observation, there is a high correlation between the time a person sleeps and the amount of productive work he does. What can be inferred from this?",3
What is the relationship between the confidence level and the significance level in statistics?,3
A regression analysis between apples (y) and oranges (x) resulted in the following least-squares line: y = 100 + 2x. What is the implication if oranges are increased by 1?,3
What types of variables are used for Pearson’s correlation coefficient?,3
"In a scatter diagram, what is the line that is drawn above or below the regression line called?",1
What are the examples of symmetric distribution?,3
Where is inferential statistics used?,2
What is the relationship between mean and median in a normal distribution?,1
"What is the difference between the Ist quartile, the IInd quartile, and the IIIrd quartile?",2
How do the standard error and the margin of error relate?,2
What is one sample t-test?,3
What is an alternative hypothesis?,1
"Given a left-skewed distribution that has a median of 60, what conclusions can we draw about the mean and the mode of the data?",3
What are the types of biases that we encounter while sampling?,1
What are the scenarios where outliers are kept in the data?,3
Briefly explain the procedure to measure the length of all sharks in the world.,3
How does the width of the confidence interval change with length?,1
What is the meaning of degrees of freedom (DF) in statistics?,2
How can you calculate the p-value using MS Excel?,3
What is the law of large numbers in statistics?,1
What are some of the properties of a normal distribution?,1
"If there is a 30 percent probability that you will see a supercar in any 20-minute time interval, what is the proba­bility that you see at least one supercar in the period of an hour (60 minutes)?",3
What is the meaning of sensitivity in statistics?,3
What are the types of biases that you can encounter while sampling?,1
What is the meaning of TF/IDF vectorization?,2
What are some of the low and high-bias Machine Learning algorithms?,1
What is the use of Hash tables in statistics?,2
What are some of the techniques to reduce underfitting and overfitting during model training?,2
Can you give an example to denote the working of the central limit theorem?,1
How do you stay up-to-date with the new and upcoming concepts in statistics?,1
What is the benefit of using box plots?,3
Does a symmetric distribution need to be unimodal?,2
What is the impact of outliers in statistics?,1
"When creating a statistical model, how do we detect overfitting?",3
What is a survivorship bias?,3
What is an undercoverage bias?,1
What is the relationship between standard deviation and standard variance?,2
What is SQL?,1
What are the subsets of SQL? ,3
Explain the different types of SQL commands.,3
What are the different types of database management systems?,3
What are the usages of SQL?,1
What is a default constraint?,2
What is a unique constraint?,3
What do you mean by table and field in SQL?,1
What is a primary key?,3
What is a Unique Key?,3
What is the difference between Primary key and Unique Key?,1
What is a foreign key?,2
What is an index?,3
Explain the types of indexes.,1
What are Entities and Relationships?,3
How would you find the second highest salary from the below table?,2
Why do we use the FLOOR function in SQL Server?,2
State the differences between clustered and non-clustered indexes.,3
What do you know about CDC in SQL Server?,1
What is the difference between SQL and MySQL?,3
State the differences between SQL and PL/SQL.,1
What is the ACID property in a database?,2
How can we handle expectations in SQL Server?,3
What is the need for group functions in SQL?,3
What do you understand about a character manipulation function?,1
What is AUTO_INCREMENT?,1
What is the difference between DELETE and TRUNCATE commands?,1
What is a “TRIGGER” in SQL?,1
"In SQL Server, how many authentication modes are there? And what are they?",1
What is the COALESCE function?,1
What do you understand about normalizationand denormalization?,3
What are some common clauses used with SELECT queries in SQL?,1
What is wrong with the below-given SQL query?,1
What is a function in SQL Server?,2
What do you know about the stuff() function?,2
What are Views? Give an example.,1
What are the third-party tools that are used in an SQL Server?,1
What are the types of views in SQL?,2
What is a stored procedure? Give an example.,2
What do you know about Joins? Define different types of Joins.,1
Where are usernames and passwords stored in SQL Server?,2
What are the types of relationships in SQL Server databases?,1
Explain Inner Join with Example.,1
State the differences between views and tables.,3
Mention different types of replication in SQL Server?,3
